1,Browseblab,Multi-lateral executive function,Bob,26444.86,2016-10-20,Negotiating
2,Mita,Organic demand-driven benchmark,Maria,477878.41,2016-11-28,ClosedWon
3,Miboo,De-engineered hybrid groupware,Olivier,80181.78,2017-01-05,ClosedWon
4,Youbridge,Enterprise-wide bottom-line Graphic Interface,Chris,946245.29,2016-07-02,ClosedWon
5,Skyba,Reverse-engineered fresh-thinking standardization,Maria,696241.82,2017-02-17,Negotiating
6,Eayo,Fundamental well-modulated artificial intelligence,Bob,765605.52,2016-08-27,Prospecting
7,Yotz,Extended secondary infrastructure,Chris,319624.20,2017-01-06,ClosedLost
8,Oloo,Configurable web-enabled data-warehouse,Chris,321016.26,2017-03-08,ClosedLost
9,Kaymbo,Multi-lateral web-enabled definition,Bob,690881.01,2017-01-02,Developing
10,Rhyloo,Public-key coherent infrastructure,Chris,965477.74,2016-11-07,Prospecting
11,Kayveo,Grass-roots zero tolerance product,Maria,156560.56,2016-10-13,Prospecting
12,Thoughtmix,Virtual composite installation,Bill,382419.10,2016-11-21,Negotiating
13,Browsetype,Mandatory multimedia internet solution,Maria,884446.06,2016-07-27,ClosedWon
14,Photospace,Networked actuating moderator,Bob,401435.33,2016-10-26,ClosedWon
15,Skipfire,Visionary national methodology,Maria,374626.50,2016-07-08,Prospecting
16,Zoomzone,Future-proofed attitude-oriented toolset,Olivier,929195.59,2016-12-06,Prospecting
17,Podcat,Team-oriented modular moratorium,Chris,858319.08,2016-10-22,Negotiating
18,Zoomdog,Persevering 5th generation middleware,Bob,177570.51,2016-10-27,Prospecting
19,Eimbee,Virtual optimal process improvement,Bob,867992.47,2017-02-25,Prospecting
20,Skyble,Integrated web-enabled framework,Bob,345497.37,2017-03-08,ClosedWon
21,Gigazoom,Right-sized context-sensitive migration,Maria,417081.04,2016-11-14,Prospecting
22,Bubblebox,Cross-group content-based system engine,Olivier,500560.41,2017-01-05,ClosedWon
23,Feednation,Reduced zero defect Graphic Interface,Bob,433589.21,2017-02-04,Prospecting
24,Brainlounge,Up-sized bi-directional capability,Chris,399844.94,2016-12-26,ClosedLost
25,Topicstorm,Robust object-oriented hierarchy,Olivier,93133.53,2017-01-19,Developing
26,Teklist,Integrated discrete hierarchy,Bill,872232.37,2017-03-01,ClosedWon
